القطاع,القسم,الإدارة,التنظيم الإداري,اسم العقد,المقاول الرئيسي,اسم المشروع,التصنيف الاقتصادي,رأسمالي / تشغيلي,التصنيف الصناعي,قيمة الارتباط,المدة,تاريخ الترسية,تاريخ نهاية العقد
الدفاع,الصيانة,أبها,فرعي,عقد رقم 2022-072,شركة أرامكو للخدمات,إنشاءات جديدة,التطوير والصيانة,رأسمالي,خدمات متخصصة,1570000,6,2021-06-22,2021-12-19
الصحة,الصيانة,الرياض,فرعي,عقد رقم 2022-073,شركة بن لادن السعودية,تطوير المرافق,التطوير والصيانة,تشغيلي,صيانة,310000,6,2023-10-12,2024-04-09
الإسكان,التطوير,مكة,إقليمي,عقد رقم 2022-074,مجموعة العليان,أعمال السباكة,التطوير والصيانة,تشغيلي,إنشاءات,1990000,3,2021-01-01,2021-04-01
الصحة,المشاريع,مكة,مركزي,عقد رقم 2022-075,مجموعة صافولا,تطوير البنية التحتية,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,400000,36,2023-03-16,2026-02-28
الدفاع,المشاريع,المدينة,إقليمي,عقد رقم 2022-076,شركة المباني الحديثة,ترميم وتجديد,الخدمات العامة,تشغيلي,خدمات فنية,510000,6,2021-11-01,2022-04-30
الإسكان,الخدمات,مكة,فرعي,عقد رقم 2022-077,شركة بن لادن السعودية,أعمال السباكة,مشاريع البنية التحتية,رأسمالي,خدمات متخصصة,23110000,60,2023-04-26,2028-03-30
البلدية,التطوير,المدينة,مركزي,عقد رقم 2022-078,مجموعة العليان,صيانة دورية,الخدمات العامة,تشغيلي,مقاولات عامة,10090000,3,2021-12-10,2022-03-10
الصحة,المشاريع,القصيم,محلي,عقد رقم 2022-079,شركة المباني الحديثة,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,إنشاءات,2780000,12,2020-05-02,2021-04-27
البلدية,التطوير,جدة,مركزي,عقد رقم 2022-080,مجموعة صافولا,أعمال النظافة,الخدمات العامة,رأسمالي,خدمات فنية,1830000,6,2023-04-04,2023-10-01
الإسكان,العمليات,الطائف,محلي,عقد رقم 2022-081,شركة عبدالله عبدالمحسن الخضري,صيانة الطرق,مشاريع البنية التحتية,رأسمالي,صيانة,36370000,36,2021-06-18,2024-06-02
الداخلية,التطوير,الطائف,محلي,عقد رقم 2022-082,مجموعة السعودي الفرنسي,صيانة دورية,التطوير والصيانة,رأسمالي,مقاولات عامة,130000,6,2024-05-16,2024-11-12
الصحة,المشاريع,المدينة,مركزي,عقد رقم 2022-083,مجموعة العليان,الخدمات الكهربائية,الخدمات العامة,رأسمالي,صيانة,110000,60,2021-09-23,2026-08-28
الدفاع,العمليات,الدمام,مركزي,عقد رقم 2022-084,مجموعة صافولا,تطوير المرافق,الصيانة الدورية,مختلط,خدمات متخصصة,1920000,48,2021-12-29,2025-12-08
الصحة,الصيانة,الرياض,فرعي,عقد رقم 2022-085,شركة الراجحي للمقاولات,صيانة الطرق,المشاريع الاستراتيجية,تشغيلي,إنشاءات,790000,6,2021-05-26,2021-11-22
الصحة,الصيانة,مكة,محلي,عقد رقم 2022-086,شركة الراجحي للمقاولات,تطوير البنية التحتية,التطوير والصيانة,رأسمالي,إنشاءات,15030000,24,2023-04-07,2025-03-27
الداخلية,التطوير,أبها,مركزي,عقد رقم 2022-087,مجموعة صافولا,أعمال النظافة,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,350000,3,2022-08-02,2022-10-31
التعليم,الصيانة,حائل,فرعي,عقد رقم 2022-088,مؤسسة محمد الموسى,أنظمة التكييف,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,280000,12,2021-03-15,2022-03-10
التعليم,التطوير,مكة,فرعي,عقد رقم 2022-089,مؤسسة محمد الموسى,صيانة دورية,مشاريع البنية التحتية,تشغيلي,خدمات فنية,250000,3,2022-09-08,2022-12-07
النقل,العمليات,تبوك,إقليمي,عقد رقم 2022-090,شركة الراجحي للمقاولات,صيانة المباني,التطوير والصيانة,مختلط,صيانة,1680000,60,2022-09-09,2027-08-14
النقل,العمليات,حائل,فرعي,عقد رقم 2022-091,شركة الراجحي للمقاولات,تطوير البنية التحتية,الخدمات العامة,مختلط,صيانة,290000,24,2020-03-01,2022-02-19
التعليم,الخدمات,تبوك,إقليمي,عقد رقم 2022-092,شركة الراجحي للمقاولات,إنشاءات جديدة,الخدمات العامة,مختلط,خدمات فنية,9950000,3,2021-06-29,2021-09-27
الإسكان,العمليات,حائل,فرعي,عقد رقم 2022-093,شركة النهدي للتطوير,صيانة الطرق,المشاريع الاستراتيجية,مختلط,خدمات فنية,11890000,36,2024-07-09,2027-06-24
التعليم,الخدمات,مكة,مركزي,عقد رقم 2022-094,مجموعة الزامل,تطوير المرافق,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,70000,60,2020-12-25,2025-11-29
البلدية,العمليات,الرياض,مركزي,عقد رقم 2022-095,شركة الراجحي للمقاولات,ترميم وتجديد,الخدمات العامة,رأسمالي,خدمات متخصصة,870000,12,2021-02-16,2022-02-11
الإسكان,التطوير,حائل,مركزي,عقد رقم 2022-096,شركة أرامكو للخدمات,أنظمة التكييف,التطوير والصيانة,رأسمالي,صيانة,35070000,36,2024-10-28,2027-10-13
الإسكان,العمليات,الدمام,إقليمي,عقد رقم 2022-097,مجموعة العليان,أعمال النظافة,الصيانة الدورية,رأسمالي,مقاولات عامة,6080000,48,2024-02-08,2028-01-18
الصحة,الخدمات,تبوك,مركزي,عقد رقم 2022-098,شركة الراجحي للمقاولات,ترميم وتجديد,التطوير والصيانة,مختلط,صيانة,430000,24,2021-09-20,2023-09-10
الدفاع,الصيانة,مكة,إقليمي,عقد رقم 2022-099,شركة أرامكو للخدمات,إنشاءات جديدة,مشاريع البنية التحتية,مختلط,خدمات فنية,19430000,6,2023-08-02,2024-01-29
الإسكان,الصيانة,الطائف,إقليمي,عقد رقم 2022-100,مجموعة السعودي الفرنسي,تشغيل وصيانة المرافق,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,180000,3,2022-07-03,2022-10-01
الداخلية,التطوير,الطائف,محلي,عقد رقم 2023-001,مجموعة السعودي الفرنسي,تطوير المرافق,الصيانة الدورية,مختلط,صيانة,37780000,48,2022-06-16,2026-05-26
الصحة,العمليات,الرياض,إقليمي,عقد رقم 2023-002,شركة عبدالله عبدالمحسن الخضري,تطوير البنية التحتية,مشاريع البنية التحتية,تشغيلي,صيانة,490000,60,2020-11-29,2025-11-03
النقل,الصيانة,الطائف,محلي,عقد رقم 2023-003,شركة المباني الحديثة,صيانة المباني,المشاريع الاستراتيجية,مختلط,صيانة,80000,48,2024-12-23,2028-12-02
الدفاع,المشاريع,مكة,محلي,عقد رقم 2023-004,شركة المباني الحديثة,صيانة دورية,الصيانة الدورية,تشغيلي,خدمات فنية,100000,48,2023-05-28,2027-05-07
النقل,الخدمات,أبها,فرعي,عقد رقم 2023-005,شركة بن لادن السعودية,الخدمات الكهربائية,مشاريع البنية التحتية,تشغيلي,إنشاءات,250000,18,2021-09-01,2023-02-23
التعليم,المشاريع,المدينة,مركزي,عقد رقم 2023-006,شركة الفطيم للمقاولات,تطوير البنية التحتية,التطوير والصيانة,تشغيلي,مقاولات عامة,60000,60,2021-08-26,2026-07-31
الداخلية,المشاريع,الطائف,محلي,عقد رقم 2023-007,شركة أرامكو للخدمات,إنشاءات جديدة,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,330000,24,2022-09-28,2024-09-17
الدفاع,الخدمات,الرياض,فرعي,عقد رقم 2023-008,شركة المباني الحديثة,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,خدمات فنية,480000,60,2022-06-19,2027-05-24
التعليم,الخدمات,الرياض,محلي,عقد رقم 2023-009,مجموعة الزامل,أعمال السباكة,الصيانة الدورية,مختلط,مقاولات عامة,49570000,48,2024-07-13,2028-06-22
الداخلية,الصيانة,القصيم,فرعي,عقد رقم 2023-010,مجموعة السعودي الفرنسي,تطوير المرافق,الخدمات العامة,رأسمالي,صيانة,660000,18,2023-03-18,2024-09-08
الصحة,التطوير,مكة,فرعي,عقد رقم 2023-011,شركة النهدي للتطوير,أنظمة التكييف,التطوير والصيانة,مختلط,إنشاءات,270000,18,2024-07-13,2026-01-04
الدفاع,العمليات,القصيم,محلي,عقد رقم 2023-012,شركة بن لادن السعودية,تشغيل وصيانة المرافق,الصيانة الدورية,مختلط,خدمات متخصصة,1650000,48,2020-06-27,2024-06-06
التعليم,الخدمات,حائل,مركزي,عقد رقم 2023-013,مجموعة السعودي الفرنسي,ترميم وتجديد,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,120000,48,2024-05-19,2028-04-28
الداخلية,التطوير,حائل,محلي,عقد رقم 2023-014,شركة بن لادن السعودية,إنشاءات جديدة,التطوير والصيانة,تشغيلي,صيانة,27720000,36,2024-12-07,2027-11-22
الإسكان,المشاريع,الرياض,محلي,عقد رقم 2023-015,شركة عبدالله عبدالمحسن الخضري,الخدمات الكهربائية,مشاريع البنية التحتية,تشغيلي,خدمات فنية,220000,48,2023-06-20,2027-05-30
الإسكان,الصيانة,مكة,فرعي,عقد رقم 2023-016,شركة عبدالله عبدالمحسن الخضري,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,9190000,24,2021-09-28,2023-09-18
التعليم,التطوير,مكة,محلي,عقد رقم 2023-017,شركة المباني الحديثة,تطوير المرافق,الصيانة الدورية,تشغيلي,إنشاءات,2740000,48,2024-02-01,2028-01-11
النقل,التطوير,الدمام,مركزي,عقد رقم 2023-018,شركة الراجحي للمقاولات,صيانة الطرق,الخدمات العامة,رأسمالي,صيانة,420000,12,2022-11-21,2023-11-16
الإسكان,المشاريع,المدينة,إقليمي,عقد رقم 2023-019,شركة الفطيم للمقاولات,صيانة دورية,المشاريع الاستراتيجية,مختلط,إنشاءات,230000,60,2020-03-08,2025-02-10
النقل,التطوير,الدمام,محلي,عقد رقم 2023-020,شركة النهدي للتطوير,صيانة دورية,التطوير والصيانة,تشغيلي,صيانة,300000,3,2023-10-27,2024-01-25
الصحة,العمليات,الرياض,محلي,عقد رقم 2023-021,شركة بن لادن السعودية,إنشاءات جديدة,الصيانة الدورية,رأسمالي,صيانة,7770000,24,2024-09-11,2026-09-01
الإسكان,التطوير,القصيم,مركزي,عقد رقم 2023-022,مؤسسة محمد الموسى,صيانة المباني,المشاريع الاستراتيجية,رأسمالي,صيانة,4250000,18,2023-08-18,2025-02-08
البلدية,العمليات,المدينة,محلي,عقد رقم 2023-023,مجموعة صافولا,الخدمات الكهربائية,المشاريع الاستراتيجية,تشغيلي,صيانة,360000,3,2023-05-16,2023-08-14
النقل,التطوير,حائل,مركزي,عقد رقم 2023-024,شركة بن لادن السعودية,صيانة دورية,التطوير والصيانة,مختلط,خدمات متخصصة,8910000,24,2022-08-13,2024-08-02
الداخلية,الصيانة,الطائف,إقليمي,عقد رقم 2023-025,مؤسسة محمد الموسى,الخدمات الكهربائية,التطوير والصيانة,تشغيلي,خدمات فنية,100000,24,2023-06-01,2025-05-21
الصحة,الخدمات,تبوك,إقليمي,عقد رقم 2023-026,مؤسسة محمد الموسى,إنشاءات جديدة,مشاريع البنية التحتية,مختلط,مقاولات عامة,1000000,12,2021-01-20,2022-01-15
الداخلية,الصيانة,حائل,فرعي,عقد رقم 2023-027,شركة أرامكو للخدمات,تشغيل وصيانة المرافق,الخدمات العامة,مختلط,خدمات متخصصة,37150000,24,2021-08-28,2023-08-18
النقل,العمليات,الدمام,فرعي,عقد رقم 2023-028,شركة عبدالله عبدالمحسن الخضري,تطوير البنية التحتية,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,34050000,60,2023-07-31,2028-07-04
الإسكان,الصيانة,مكة,إقليمي,عقد رقم 2023-029,مجموعة العليان,تشغيل وصيانة المرافق,التطوير والصيانة,تشغيلي,خدمات فنية,32520000,12,2024-01-25,2025-01-19
البلدية,الصيانة,أبها,مركزي,عقد رقم 2023-030,مؤسسة محمد الموسى,ترميم وتجديد,الصيانة الدورية,مختلط,إنشاءات,1470000,24,2022-01-31,2024-01-21
الداخلية,الخدمات,المدينة,محلي,عقد رقم 2023-031,شركة بن لادن السعودية,إنشاءات جديدة,الخدمات العامة,رأسمالي,خدمات فنية,1920000,18,2022-08-25,2024-02-16
التعليم,الصيانة,أبها,إقليمي,عقد رقم 2023-032,مؤسسة محمد الموسى,إنشاءات جديدة,التطوير والصيانة,مختلط,إنشاءات,420000,60,2022-04-18,2027-03-23
البلدية,المشاريع,حائل,فرعي,عقد رقم 2023-033,شركة الفطيم للمقاولات,تطوير البنية التحتية,الخدمات العامة,مختلط,مقاولات عامة,440000,60,2020-01-10,2024-12-14
الداخلية,الصيانة,الرياض,فرعي,عقد رقم 2023-034,شركة المباني الحديثة,الخدمات الكهربائية,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,1500000,48,2023-07-21,2027-06-30
الإسكان,المشاريع,مكة,إقليمي,عقد رقم 2023-035,شركة عبدالله عبدالمحسن الخضري,إنشاءات جديدة,مشاريع البنية التحتية,تشغيلي,خدمات متخصصة,7250000,3,2021-01-25,2021-04-25
الصحة,العمليات,المدينة,محلي,عقد رقم 2023-036,شركة المباني الحديثة,صيانة دورية,الصيانة الدورية,مختلط,خدمات فنية,480000,24,2023-04-20,2025-04-09
الدفاع,المشاريع,الدمام,محلي,عقد رقم 2023-037,شركة بن لادن السعودية,صيانة الطرق,الخدمات العامة,مختلط,صيانة,1520000,12,2022-06-07,2023-06-02
الصحة,العمليات,الرياض,محلي,عقد رقم 2023-038,مؤسسة محمد الموسى,أنظمة التكييف,الصيانة الدورية,مختلط,إنشاءات,850000,3,2021-03-08,2021-06-06
البلدية,الصيانة,الرياض,مركزي,عقد رقم 2023-039,مجموعة صافولا,تطوير المرافق,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,7480000,3,2023-05-01,2023-07-30
الإسكان,الصيانة,المدينة,محلي,عقد رقم 2023-040,مؤسسة محمد الموسى,تطوير البنية التحتية,الصيانة الدورية,تشغيلي,خدمات متخصصة,3720000,60,2021-06-01,2026-05-06
النقل,الخدمات,جدة,إقليمي,عقد رقم 2023-041,مجموعة السعودي الفرنسي,تطوير البنية التحتية,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,720000,12,2023-05-25,2024-05-19
الدفاع,التطوير,المدينة,فرعي,عقد رقم 2023-042,شركة بن لادن السعودية,صيانة دورية,المشاريع الاستراتيجية,رأسمالي,مقاولات عامة,3690000,24,2021-02-13,2023-02-03
الصحة,الصيانة,حائل,محلي,عقد رقم 2023-043,شركة الراجحي للمقاولات,تطوير البنية التحتية,الصيانة الدورية,رأسمالي,إنشاءات,400000,18,2021-11-08,2023-05-02
الدفاع,التطوير,الرياض,مركزي,عقد رقم 2023-044,شركة الراجحي للمقاولات,صيانة المباني,التطوير والصيانة,تشغيلي,خدمات فنية,1120000,18,2021-06-08,2022-11-30
الصحة,الصيانة,الدمام,فرعي,عقد رقم 2023-045,شركة أرامكو للخدمات,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,خدمات فنية,440000,6,2022-05-22,2022-11-18
التعليم,الصيانة,تبوك,محلي,عقد رقم 2023-046,شركة الفطيم للمقاولات,أنظمة التكييف,المشاريع الاستراتيجية,مختلط,مقاولات عامة,1210000,6,2024-12-04,2025-06-02
التعليم,الصيانة,الدمام,مركزي,عقد رقم 2023-047,شركة الراجحي للمقاولات,تطوير البنية التحتية,المشاريع الاستراتيجية,مختلط,مقاولات عامة,8680000,48,2024-06-26,2028-06-05
البلدية,العمليات,حائل,مركزي,عقد رقم 2023-048,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,الخدمات العامة,تشغيلي,مقاولات عامة,240000,60,2024-07-01,2029-06-05
الدفاع,العمليات,الرياض,فرعي,عقد رقم 2023-049,مؤسسة محمد الموسى,الخدمات الكهربائية,الصيانة الدورية,مختلط,خدمات متخصصة,630000,48,2020-08-19,2024-07-29
الداخلية,العمليات,تبوك,فرعي,عقد رقم 2023-050,مجموعة الزامل,ترميم وتجديد,مشاريع البنية التحتية,رأسمالي,صيانة,4080000,48,2020-07-14,2024-06-23
الصحة,التطوير,الطائف,فرعي,عقد رقم 2023-051,شركة أرامكو للخدمات,أنظمة التكييف,مشاريع البنية التحتية,مختلط,صيانة,21100000,60,2022-11-01,2027-10-06
الصحة,التطوير,أبها,محلي,عقد رقم 2023-052,مجموعة السعودي الفرنسي,تطوير المرافق,المشاريع الاستراتيجية,تشغيلي,إنشاءات,990000,48,2023-02-01,2027-01-11
الصحة,الخدمات,القصيم,مركزي,عقد رقم 2023-053,مجموعة السعودي الفرنسي,ترميم وتجديد,الصيانة الدورية,مختلط,خدمات فنية,260000,3,2022-10-15,2023-01-13
الدفاع,العمليات,الرياض,فرعي,عقد رقم 2023-054,شركة الفطيم للمقاولات,الخدمات الكهربائية,الصيانة الدورية,مختلط,خدمات متخصصة,5820000,18,2024-12-27,2026-06-20
الصحة,المشاريع,الرياض,إقليمي,عقد رقم 2023-055,شركة أرامكو للخدمات,أعمال النظافة,التطوير والصيانة,مختلط,خدمات متخصصة,2950000,36,2022-08-26,2025-08-10
الداخلية,المشاريع,تبوك,مركزي,عقد رقم 2023-056,شركة عبدالله عبدالمحسن الخضري,ترميم وتجديد,الخدمات العامة,رأسمالي,إنشاءات,130000,6,2022-02-04,2022-08-03
البلدية,المشاريع,الطائف,مركزي,عقد رقم 2023-057,مجموعة صافولا,صيانة المباني,الصيانة الدورية,رأسمالي,مقاولات عامة,480000,48,2024-10-11,2028-09-20
النقل,الصيانة,القصيم,محلي,عقد رقم 2023-058,شركة النهدي للتطوير,تطوير المرافق,الصيانة الدورية,رأسمالي,خدمات متخصصة,10290000,12,2022-07-25,2023-07-20
النقل,الخدمات,الطائف,محلي,عقد رقم 2023-059,مجموعة صافولا,ترميم وتجديد,الخدمات العامة,تشغيلي,مقاولات عامة,390000,12,2020-12-21,2021-12-16
التعليم,التطوير,حائل,إقليمي,عقد رقم 2023-060,شركة المباني الحديثة,صيانة دورية,التطوير والصيانة,مختلط,خدمات متخصصة,770000,24,2021-12-03,2023-11-23
الإسكان,العمليات,الطائف,فرعي,عقد رقم 2023-061,شركة المباني الحديثة,أعمال النظافة,الخدمات العامة,مختلط,خدمات متخصصة,370000,18,2023-07-19,2025-01-09
الدفاع,الخدمات,أبها,محلي,عقد رقم 2023-062,مؤسسة محمد الموسى,تشغيل وصيانة المرافق,الصيانة الدورية,تشغيلي,مقاولات عامة,8380000,36,2023-11-22,2026-11-06
الداخلية,المشاريع,الرياض,مركزي,عقد رقم 2023-063,مجموعة العليان,أنظمة التكييف,الخدمات العامة,تشغيلي,خدمات فنية,550000,3,2024-07-13,2024-10-11
التعليم,الخدمات,الرياض,إقليمي,عقد رقم 2023-064,شركة الفطيم للمقاولات,تطوير البنية التحتية,الصيانة الدورية,مختلط,خدمات متخصصة,4470000,3,2020-10-26,2021-01-24
الداخلية,المشاريع,القصيم,إقليمي,عقد رقم 2023-065,شركة المباني الحديثة,أعمال النظافة,مشاريع البنية التحتية,تشغيلي,مقاولات عامة,6700000,18,2024-11-06,2026-04-30
الصحة,العمليات,مكة,محلي,عقد رقم 2023-066,مجموعة العليان,أعمال النظافة,التطوير والصيانة,مختلط,خدمات متخصصة,13610000,36,2022-05-03,2025-04-17
الدفاع,التطوير,الدمام,مركزي,عقد رقم 2023-067,شركة الراجحي للمقاولات,إنشاءات جديدة,الصيانة الدورية,رأسمالي,مقاولات عامة,3620000,18,2024-02-21,2025-08-14
التعليم,المشاريع,حائل,إقليمي,عقد رقم 2023-068,شركة بن لادن السعودية,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,صيانة,180000,48,2020-03-24,2024-03-03
البلدية,الخدمات,المدينة,محلي,عقد رقم 2023-069,شركة النهدي للتطوير,صيانة دورية,التطوير والصيانة,رأسمالي,خدمات فنية,13410000,12,2020-03-22,2021-03-17
الصحة,الخدمات,الدمام,محلي,عقد رقم 2023-070,مجموعة الزامل,صيانة دورية,المشاريع الاستراتيجية,رأسمالي,خدمات فنية,44930000,18,2022-12-12,2024-06-04
الدفاع,العمليات,مكة,محلي,عقد رقم 2023-071,مجموعة الزامل,أعمال النظافة,مشاريع البنية التحتية,رأسمالي,خدمات فنية,4770000,18,2021-03-29,2022-09-20
الصحة,العمليات,تبوك,مركزي,عقد رقم 2023-072,مجموعة صافولا,أنظمة التكييف,الصيانة الدورية,مختلط,خدمات فنية,26360000,18,2022-07-01,2023-12-23
الداخلية,التطوير,الرياض,إقليمي,عقد رقم 2023-073,مؤسسة محمد الموسى,صيانة الطرق,التطوير والصيانة,مختلط,إنشاءات,1560000,36,2020-02-20,2023-02-04
النقل,الصيانة,جدة,فرعي,عقد رقم 2023-074,مؤسسة محمد الموسى,أعمال النظافة,الخدمات العامة,مختلط,مقاولات عامة,46100000,12,2020-07-15,2021-07-10
الإسكان,التطوير,جدة,فرعي,عقد رقم 2023-075,شركة بن لادن السعودية,تطوير المرافق,التطوير والصيانة,رأسمالي,إنشاءات,480000,6,2024-09-07,2025-03-06
النقل,الصيانة,حائل,فرعي,عقد رقم 2023-076,شركة عبدالله عبدالمحسن الخضري,أعمال السباكة,المشاريع الاستراتيجية,تشغيلي,مقاولات عامة,180000,3,2020-05-30,2020-08-28
الصحة,الخدمات,الرياض,مركزي,عقد رقم 2023-077,شركة المباني الحديثة,ترميم وتجديد,مشاريع البنية التحتية,مختلط,إنشاءات,400000,36,2022-06-05,2025-05-20
الدفاع,الخدمات,جدة,إقليمي,عقد رقم 2023-078,شركة الفطيم للمقاولات,أعمال السباكة,المشاريع الاستراتيجية,مختلط,إنشاءات,400000,6,2022-01-02,2022-07-01
الإسكان,التطوير,القصيم,إقليمي,عقد رقم 2023-079,مؤسسة محمد الموسى,إنشاءات جديدة,التطوير والصيانة,مختلط,خدمات فنية,780000,12,2022-08-28,2023-08-23
النقل,الخدمات,تبوك,مركزي,عقد رقم 2023-080,شركة عبدالله عبدالمحسن الخضري,صيانة الطرق,التطوير والصيانة,رأسمالي,مقاولات عامة,50000,12,2020-01-23,2021-01-17
النقل,العمليات,مكة,مركزي,عقد رقم 2023-081,شركة الراجحي للمقاولات,أعمال النظافة,الصيانة الدورية,رأسمالي,خدمات متخصصة,160000,12,2023-08-15,2024-08-09
الدفاع,الصيانة,مكة,محلي,عقد رقم 2023-082,شركة أرامكو للخدمات,الخدمات الكهربائية,الخدمات العامة,مختلط,صيانة,80000,6,2022-08-02,2023-01-29
التعليم,العمليات,أبها,محلي,عقد رقم 2023-083,شركة أرامكو للخدمات,ترميم وتجديد,التطوير والصيانة,مختلط,خدمات متخصصة,9550000,24,2020-07-23,2022-07-13
التعليم,الصيانة,الطائف,فرعي,عقد رقم 2023-084,مجموعة العليان,تشغيل وصيانة المرافق,المشاريع الاستراتيجية,تشغيلي,خدمات فنية,5590000,36,2020-11-08,2023-10-24
الداخلية,العمليات,المدينة,محلي,عقد رقم 2023-085,مجموعة الزامل,تطوير البنية التحتية,الخدمات العامة,مختلط,خدمات متخصصة,41060000,36,2020-10-02,2023-09-17
النقل,المشاريع,المدينة,مركزي,عقد رقم 2023-086,شركة المباني الحديثة,تطوير البنية التحتية,مشاريع البنية التحتية,مختلط,إنشاءات,19390000,24,2020-06-16,2022-06-06
الصحة,الخدمات,المدينة,محلي,عقد رقم 2023-087,مؤسسة محمد الموسى,إنشاءات جديدة,التطوير والصيانة,تشغيلي,صيانة,3780000,48,2024-07-22,2028-07-01
النقل,الصيانة,تبوك,إقليمي,عقد رقم 2023-088,مجموعة الزامل,صيانة المباني,الخدمات العامة,مختلط,صيانة,310000,24,2024-12-30,2026-12-20
النقل,الخدمات,الدمام,محلي,عقد رقم 2023-089,شركة أرامكو للخدمات,صيانة المباني,الخدمات العامة,تشغيلي,صيانة,870000,12,2024-03-30,2025-03-25
الإسكان,المشاريع,القصيم,إقليمي,عقد رقم 2023-090,مجموعة صافولا,تطوير المرافق,المشاريع الاستراتيجية,رأسمالي,إنشاءات,580000,24,2020-05-08,2022-04-28
الإسكان,العمليات,المدينة,فرعي,عقد رقم 2023-091,مجموعة صافولا,أعمال النظافة,المشاريع الاستراتيجية,تشغيلي,خدمات متخصصة,320000,36,2023-08-21,2026-08-05
التعليم,الخدمات,تبوك,إقليمي,عقد رقم 2023-092,شركة أرامكو للخدمات,تطوير المرافق,المشاريع الاستراتيجية,مختلط,إنشاءات,1280000,6,2023-08-31,2024-02-27
الصحة,الخدمات,المدينة,فرعي,عقد رقم 2023-093,شركة الراجحي للمقاولات,إنشاءات جديدة,الخدمات العامة,تشغيلي,خدمات متخصصة,980000,12,2022-10-24,2023-10-19
البلدية,العمليات,جدة,محلي,عقد رقم 2023-094,مؤسسة محمد الموسى,تطوير المرافق,المشاريع الاستراتيجية,رأسمالي,خدمات متخصصة,5470000,6,2024-01-09,2024-07-07
التعليم,الخدمات,حائل,فرعي,عقد رقم 2023-095,شركة الراجحي للمقاولات,أعمال النظافة,الصيانة الدورية,رأسمالي,خدمات متخصصة,70000,48,2020-11-26,2024-11-05
النقل,التطوير,حائل,مركزي,عقد رقم 2023-096,شركة المباني الحديثة,تشغيل وصيانة المرافق,التطوير والصيانة,رأسمالي,صيانة,140000,3,2020-10-27,2021-01-25
التعليم,التطوير,حائل,فرعي,عقد رقم 2023-097,شركة النهدي للتطوير,إنشاءات جديدة,الصيانة الدورية,مختلط,خدمات متخصصة,21440000,60,2022-07-08,2027-06-12
الداخلية,الخدمات,حائل,مركزي,عقد رقم 2023-098,مجموعة العليان,أعمال السباكة,المشاريع الاستراتيجية,رأسمالي,إنشاءات,4870000,12,2021-06-25,2022-06-20
الإسكان,التطوير,الدمام,مركزي,عقد رقم 2023-099,شركة الراجحي للمقاولات,تطوير المرافق,الصيانة الدورية,مختلط,إنشاءات,1550000,18,2020-02-03,2021-07-27
التعليم,الخدمات,القصيم,مركزي,عقد رقم 2023-100,مؤسسة محمد الموسى,أعمال النظافة,المشاريع الاستراتيجية,مختلط,مقاولات عامة,390000,6,2024-12-02,2025-05-31
التعليم,التطوير,تبوك,إقليمي,عقد رقم 2024-001,شركة النهدي للتطوير,تشغيل وصيانة المرافق,الصيانة الدورية,رأسمالي,مقاولات عامة,5590000,3,2022-01-28,2022-04-28
البلدية,الصيانة,المدينة,محلي,عقد رقم 2024-002,شركة عبدالله عبدالمحسن الخضري,صيانة الطرق,مشاريع البنية التحتية,مختلط,إنشاءات,980000,24,2020-10-01,2022-09-21
الإسكان,المشاريع,الطائف,محلي,عقد رقم 2024-003,شركة أرامكو للخدمات,تطوير البنية التحتية,الخدمات العامة,تشغيلي,خدمات متخصصة,1280000,6,2023-03-29,2023-09-25
النقل,العمليات,حائل,إقليمي,عقد رقم 2024-004,مؤسسة محمد الموسى,أعمال السباكة,الخدمات العامة,تشغيلي,خدمات متخصصة,38420000,24,2021-06-03,2023-05-24
النقل,التطوير,المدينة,إقليمي,عقد رقم 2024-005,شركة النهدي للتطوير,الخدمات الكهربائية,المشاريع الاستراتيجية,مختلط,صيانة,340000,60,2024-05-24,2029-04-28
البلدية,المشاريع,جدة,فرعي,عقد رقم 2024-006,مجموعة الزامل,أعمال السباكة,التطوير والصيانة,مختلط,خدمات متخصصة,5740000,6,2024-10-17,2025-04-15
الصحة,الصيانة,الدمام,محلي,عقد رقم 2024-007,شركة النهدي للتطوير,أعمال السباكة,مشاريع البنية التحتية,رأسمالي,خدمات فنية,380000,3,2023-11-28,2024-02-26
الإسكان,التطوير,تبوك,إقليمي,عقد رقم 2024-008,شركة المباني الحديثة,ترميم وتجديد,مشاريع البنية التحتية,رأسمالي,مقاولات عامة,60000,36,2021-03-30,2024-03-14
